date,o,h,l,c,v
2020-09-28 15:15:00,1.07995,1.079965,1.07949,1.07959,658
2020-09-28 15:20:00,1.0796649999999999,1.079755,1.0794549999999998,1.079625,659
2020-09-28 15:30:00,1.079335,1.079475,1.079125,1.07918,1108
2020-09-28 15:35:00,1.0792549999999999,1.07933,1.07908,1.07921,775
2020-09-28 15:40:00,1.079245,1.07928,1.07904,1.07911,722
2020-09-28 15:45:00,1.07914,1.07917,1.07872,1.07889,781
2020-09-28 15:50:00,1.07891,1.078935,1.078585,1.078675,714
2020-09-28 15:55:00,1.0787300000000002,1.078775,1.07827,1.0783049999999998,1136
2020-09-28 16:00:00,1.07832,1.078325,1.077855,1.078155,1465
2020-09-28 16:05:00,1.07823,1.07831,1.077935,1.07804,717
2020-09-28 16:10:00,1.0781049999999999,1.078165,1.0778699999999999,1.0779,544
2020-09-28 16:15:00,1.077935,1.07797,1.07738,1.07779,752
2020-09-28 16:20:00,1.077885,1.077985,1.077655,1.077845,587
2020-09-28 16:25:00,1.07785,1.07785,1.077475,1.07768,848
2020-09-28 16:30:00,1.0777649999999999,1.077845,1.07751,1.077795,589
2020-09-28 16:35:00,1.077845,1.0779,1.07776,1.07782,423
2020-09-28 16:40:00,1.0778349999999999,1.077865,1.077625,1.07779,373
2020-09-28 16:45:00,1.077795,1.0778050000000001,1.077485,1.0775700000000001,575
2020-09-28 16:50:00,1.07765,1.077725,1.077485,1.0775649999999999,332
2020-09-28 16:55:00,1.07765,1.07774,1.077545,1.0776949999999998,504
2020-09-28 17:00:00,1.077705,1.07772,1.077455,1.0775350000000001,654
2020-09-28 17:05:00,1.0776500000000002,1.0777700000000001,1.07751,1.0777,443
2020-09-28 17:10:00,1.07789,1.0780699999999999,1.077695,1.077975,335
2020-09-28 17:15:00,1.07799,1.078015,1.077855,1.077915,312
2020-09-28 17:20:00,1.0780150000000002,1.078125,1.07786,1.0781049999999999,320
2020-09-28 17:25:00,1.07815,1.0782,1.078095,1.078195,241
2020-09-28 17:30:00,1.078265,1.078335,1.078065,1.0782349999999998,474
2020-09-28 17:35:00,1.078265,1.07831,1.07814,1.07815,269
2020-09-28 17:40:00,1.0781999999999998,1.07825,1.07809,1.078095,404
2020-09-28 17:45:00,1.078235,1.07836,1.07809,1.07831,393
2020-09-28 17:50:00,1.078345,1.078375,1.07815,1.07836,313
2020-09-28 17:55:00,1.078405,1.0784449999999999,1.07831,1.078395,390
2020-09-28 18:00:00,1.078465,1.078535,1.078375,1.0784449999999999,597
2020-09-28 18:05:00,1.078545,1.07865,1.07839,1.0786,427
2020-09-28 18:10:00,1.078605,1.078605,1.0785,1.078515,231
2020-09-28 18:15:00,1.0785300000000002,1.078545,1.07847,1.078525,272
2020-09-28 18:20:00,1.078525,1.0785399999999998,1.078425,1.078515,363
2020-09-28 18:25:00,1.07862,1.07872,1.07847,1.078635,362
2020-09-28 18:30:00,1.078645,1.07865,1.078495,1.07856,288
2020-09-28 18:35:00,1.07857,1.078575,1.0783800000000001,1.078515,298
2020-09-28 18:40:00,1.07853,1.078545,1.078345,1.0784099999999999,552
2020-09-28 18:45:00,1.07847,1.078545,1.078385,1.07854,357
2020-09-28 18:50:00,1.078565,1.078585,1.078475,1.07853,307
2020-09-28 18:55:00,1.078545,1.078565,1.078375,1.078485,459
2020-09-28 19:00:00,1.07858,1.078675,1.078475,1.078545,941
2020-09-28 19:05:00,1.078615,1.078675,1.07853,1.07867,325
2020-09-28 19:10:00,1.0786850000000001,1.0787,1.0786,1.0786250000000002,306
2020-09-28 19:15:00,1.078725,1.07884,1.07862,1.07873,455
2020-09-28 19:20:00,1.0787749999999998,1.078825,1.078695,1.07876,312
2020-09-28 19:25:00,1.07877,1.078795,1.078655,1.07874,258
2020-09-28 19:30:00,1.07874,1.078745,1.078565,1.078615,372
2020-09-28 19:35:00,1.07869,1.078765,1.078615,1.0787550000000001,598
2020-09-28 19:40:00,1.07878,1.078805,1.078725,1.07874,211
2020-09-28 19:45:00,1.07876,1.0787749999999998,1.07871,1.078735,229
2020-09-28 19:50:00,1.07883,1.07893,1.07872,1.0787849999999999,574
2020-09-28 19:55:00,1.07885,1.07891,1.078595,1.07863,918
2020-09-28 20:00:00,1.078675,1.0787149999999999,1.0784850000000001,1.07851,596
2020-09-28 20:05:00,1.0786,1.0786850000000001,1.0785,1.07857,242
2020-09-28 20:10:00,1.0786099999999998,1.078655,1.078565,1.078615,125
2020-09-28 20:15:00,1.07863,1.07864,1.078455,1.0784799999999999,270
2020-09-28 20:20:00,1.07851,1.078545,1.0784150000000001,1.078535,92
2020-09-28 20:25:00,1.078535,1.078535,1.0782699999999998,1.0784250000000002,285
2020-09-28 20:30:00,1.0784600000000002,1.0785200000000001,1.078405,1.0784449999999999,132
2020-09-28 20:35:00,1.0784500000000001,1.0784500000000001,1.078315,1.078365,189
2020-09-28 20:40:00,1.0784449999999999,1.078525,1.078365,1.07849,174
2020-09-28 20:45:00,1.078545,1.0786,1.0784799999999999,1.07854,172
2020-09-28 20:50:00,1.078565,1.078585,1.0785,1.07853,387
2020-09-28 20:55:00,1.0790899999999999,1.0790899999999999,1.078265,1.0788449999999998,388
2020-09-28 21:05:00,1.078625,1.07876,1.07859,1.0787,9
2020-09-28 21:10:00,1.0787,1.0787,1.07836,1.078495,7
2020-09-28 21:20:00,1.0786850000000001,1.07869,1.0784500000000001,1.0784950000000002,4
2020-09-28 21:25:00,1.07865,1.07866,1.07844,1.07859,18
2020-09-28 21:30:00,1.0786099999999998,1.078775,1.0784349999999998,1.0786850000000001,195
2020-09-28 21:35:00,1.078745,1.0788099999999998,1.078565,1.0787200000000001,100
2020-09-28 21:40:00,1.0787200000000001,1.078725,1.07868,1.0786950000000002,20
2020-09-28 21:45:00,1.0787,1.07871,1.078585,1.07861,44
2020-09-28 21:50:00,1.07864,1.07876,1.0785749999999998,1.078705,123
2020-09-28 21:55:00,1.0788,1.0788600000000002,1.0786099999999998,1.07874,797
2020-09-28 22:00:00,1.0787900000000001,1.0789650000000002,1.078355,1.0786850000000001,806
2020-09-28 22:05:00,1.0787,1.0787499999999999,1.07855,1.078605,199
2020-09-28 22:10:00,1.0787049999999998,1.07885,1.07859,1.07873,384
2020-09-28 22:15:00,1.07878,1.078885,1.078695,1.07884,173
2020-09-28 22:20:00,1.0788600000000002,1.078875,1.07881,1.07885,106
2020-09-28 22:25:00,1.078855,1.07886,1.07876,1.07884,118
2020-09-28 22:30:00,1.07885,1.078865,1.0787499999999999,1.07876,174
2020-09-28 22:35:00,1.078765,1.078775,1.078725,1.0787550000000001,57
2020-09-28 22:40:00,1.078775,1.07881,1.078725,1.07876,148
2020-09-28 22:45:00,1.07878,1.0788250000000001,1.0787550000000001,1.078765,196
2020-09-28 22:50:00,1.07878,1.078795,1.078735,1.07876,71
2020-09-28 22:55:00,1.07878,1.078805,1.07876,1.078795,57
2020-09-28 23:00:00,1.078845,1.078905,1.0787849999999999,1.07881,246
2020-09-28 23:05:00,1.0788250000000001,1.078865,1.07871,1.0787650000000002,252
2020-09-28 23:10:00,1.07881,1.0789,1.078725,1.078865,196
2020-09-28 23:15:00,1.078865,1.07887,1.078585,1.078615,295
2020-09-28 23:20:00,1.0786449999999999,1.0786799999999999,1.0786099999999998,1.07865,127
2020-09-28 23:25:00,1.0787300000000002,1.078805,1.07864,1.078805,139
2020-09-28 23:30:00,1.078805,1.07881,1.07867,1.07867,132
2020-09-28 23:35:00,1.07867,1.078675,1.07857,1.0786099999999998,135
2020-09-28 23:40:00,1.07867,1.078725,1.078555,1.078665,247
2020-09-28 23:45:00,1.0786850000000001,1.0787200000000001,1.078615,1.07864,328
2020-09-28 23:50:00,1.078735,1.078855,1.078635,1.07869,636
2020-09-28 23:55:00,1.078795,1.078915,1.078675,1.0788099999999998,625
2020-09-29 00:00:00,1.07889,1.07897,1.078545,1.07863,781
2020-09-29 00:05:00,1.078675,1.0787200000000001,1.07856,1.0786,514
2020-09-29 00:10:00,1.07876,1.07892,1.07857,1.078835,705
2020-09-29 00:15:00,1.078955,1.079075,1.0787900000000001,1.07896,683
