date,o,h,l,c,v
2020-09-28 16:00:00,1.286425,1.286425,1.285495,1.2855349999999999,1545
2020-09-28 16:05:00,1.28558,1.285615,1.2844950000000002,1.2849300000000001,1599
2020-09-28 16:10:00,1.285115,1.285315,1.28474,1.28515,1094
2020-09-28 16:15:00,1.285205,1.2852649999999999,1.28464,1.2849599999999999,1093
2020-09-28 16:20:00,1.285015,1.285075,1.284435,1.2846250000000001,1140
2020-09-28 16:25:00,1.284685,1.28476,1.283725,1.28388,1482
2020-09-28 16:30:00,1.284015,1.284155,1.2835100000000002,1.284055,1333
2020-09-28 16:35:00,1.284295,1.284545,1.284025,1.28445,861
2020-09-28 16:40:00,1.2846099999999998,1.28476,1.284445,1.2846549999999999,790
2020-09-28 16:45:00,1.284805,1.2849599999999999,1.28458,1.284835,639
2020-09-28 16:50:00,1.284905,1.284975,1.284745,1.284875,760
2020-09-28 16:55:00,1.28508,1.285295,1.2848549999999999,1.2852299999999999,1013
2020-09-28 17:00:00,1.285295,1.285355,1.284865,1.28492,1309
2020-09-28 17:05:00,1.285045,1.285175,1.284825,1.2849249999999999,931
2020-09-28 17:10:00,1.28501,1.285095,1.284715,1.28472,1042
2020-09-28 17:15:00,1.28474,1.2847650000000002,1.284325,1.2845550000000001,593
2020-09-28 17:20:00,1.28476,1.2849599999999999,1.28452,1.28471,572
2020-09-28 17:25:00,1.28472,1.28473,1.2843200000000001,1.284465,565
2020-09-28 17:30:00,1.28451,1.2845550000000001,1.284195,1.2843149999999999,448
2020-09-28 17:35:00,1.2843849999999999,1.2844600000000002,1.2842500000000001,1.2844250000000001,356
2020-09-28 17:40:00,1.28456,1.28467,1.28437,1.2845550000000001,567
2020-09-28 17:45:00,1.28476,1.284975,1.284545,1.28484,694
2020-09-28 17:50:00,1.284955,1.285065,1.28478,1.284965,706
2020-09-28 17:55:00,1.28515,1.28533,1.284725,1.2847400000000002,702
2020-09-28 18:00:00,1.28477,1.28478,1.28413,1.2845,893
2020-09-28 18:05:00,1.284665,1.28482,1.284455,1.284805,416
2020-09-28 18:10:00,1.2848950000000001,1.2849949999999999,1.28465,1.284715,416
2020-09-28 18:15:00,1.284915,1.285125,1.28462,1.28503,621
2020-09-28 18:20:00,1.28512,1.28521,1.2847300000000001,1.2847300000000001,483
2020-09-28 18:25:00,1.284865,1.28499,1.284665,1.28497,462
2020-09-28 18:30:00,1.28502,1.285065,1.28491,1.285055,431
